Offer #;Adams;Allen;Anderson;Bailey;Baker;Barnes;Bell;Bennett;Brooks;Brown;Butler;Campbell;Carter;Clark;Collins;Cook;Cooper;Cox;Cruz;Davis;Diaz;Edwards;Evans;Fisher;Flores;Foster;Garcia;Gomez;Gonzalez;Gray;Green;Gutierrez;Hall;Harris;Hernandez;Hill;Howard;Hughes;Jackson;James;Jenkins;Johnson;Jones;Kelly;King;Lee;Lewis;Long;Lopez;Martin;Martinez;Miller;Mitchell;Moore;Morales;Morgan;Morris;Murphy;Myers;Nelson;Nguyen;Ortiz;Parker;Perez;Perry;Peterson;Phillips;Powell;Price;Ramirez;Reed;Reyes;Richardson;Rivera;Roberts;Robinson;Rodriguez;Rogers;Ross;Russell;Sanchez;Sanders;Scott;Smith;Stewart;Sullivan;Taylor;Thomas;Thompson;Torres;Turner;Walker;Ward;Watson;White;Williams;Wilson;Wood;Wright;Young
20;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
21;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;
22;;;;;;1;;;1;;1;;;;;;;;;1;;;1;1;;1;;;;;;;1;1;;;1;;1;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;1;;;;1;;;;;1;;;1;;;;;;;;;;;;;;1;1;;;;1
23;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
24;;;1;;;;1;;;;;1;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;;;
26;;;1;;;;1;;;;;1;;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;1;1;1;;;;;;1;;;;;;;;;;;;
27;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;
28;;;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;;;;;;;1;;1;;;1;;;;;;1;;1;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;1;;1;;;;;;
30;1;;;1;;;;;;1;1;;1;;1;;;;1;;1;;;1;;;;;;;;;;;;1;;1;;1;;;;;;;1;;;;;;;;;;;;1;;;;;1;1;;;;1;;;;;;;;;;;;;;;;1;;1;;1;;;;;;1;;1;;;
31;;;;;1;1;;;;;;;;1;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;1;1;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;1;;1
32;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
